Alimento,Costo,Calorias,Proteina,Fibra,Carbohidratos,Vitamina_A,Vitamina_C,Vitamina_D,Vitamina_K
Alimento_1,1.94,240,25.8,8.9,18.3,1196.1,43.1,3.19,123.2
Alimento_2,4.76,302,13.2,10.2,53.9,987.7,24.9,20.65,37.6
Alimento_3,3.69,465,22.7,11.8,1.8,1275.9,61.7,19.55,71.1
Alimento_4,3.03,210,22.8,7.5,6,1300.9,70.7,17.72,156.8
Alimento_5,0.86,305,3.5,1.3,13.3,1062.5,16.7,0.9,110.8
Alimento_6,0.86,372,27.1,8.1,2.6,1255.5,16.8,7.58,1
Alimento_7,0.38,177,15.4,8.8,11.7,1046.2,3.7,6.58,152.2
Alimento_8,4.34,67,24.9,11.2,35.4,1020.2,73.6,9,7.1
Alimento_9,3.05,330,9.9,6.5,25.9,927.9,66.4,2.19,149.1
Alimento_10,3.57,272,26.9,1.9,53.7,1129.1,47.5,23.42,40.5
Alimento_11,0.2,103,12,4.3,49.2,237.9,84.4,13.85,191.6
Alimento_12,4.85,107,0.8,5.4,21.2,1321.3,80.6,7.64,73.6
Alimento_13,4.18,372,27.2,9.7,16.3,1307.8,58.5,9.92,65.4
Alimento_14,1.14,409,3.2,8.6,23.4,43.9,86.8,11.18,29.8
Alimento_15,0.99,223,9.9,5.3,35.8,1238.7,20.6,15.01,61.1
Alimento_16,1,329,28.5,14.8,16.8,193.3,11.2,12.89,175.3
Alimento_17,1.59,163,28.5,9.1,37.8,502.7,27,22.98,199.3
Alimento_18,2.67,337,17.4,3.6,25.2,1115.3,5.7,12.42,73.7
Alimento_19,2.22,480,19.1,1.5,33.6,241.1,53.1,24.8,89.7
Alimento_20,1.53,391,13.7,2.3,26.7,1227,93.7,21.29,144.4
Alimento_21,3.1,200,9.1,3.7,18.4,1248.2,3.9,5.21,177.2
Alimento_22,0.78,499,10.2,2.4,57,761.2,12.2,23.26,118.6
Alimento_23,1.53,176,20.3,2.8,46.1,9.6,45.2,2.91,78.3
Alimento_24,1.9,204,22.7,4.3,9.3,430.6,93.4,20.44,82.5
Alimento_25,2.33,435,23.9,2.6,52.2,925.4,31.6,9.52,139.1
Alimento_26,3.95,322,23.8,13.5,29.8,1471.8,50.7,21.95,0.6
Alimento_27,1.08,153,3.2,1.2,53.8,947.7,4.2,21.7,123.9
Alimento_28,2.62,466,15.1,7.9,48.2,389.7,14.8,20.15,71.1
Alimento_29,3,442,2.2,6.2,26.1,951,98.7,19.75,158.8
Alimento_30,0.33,348,16.7,14.7,2.3,810,96.5,7.62,18.6
Alimento_31,3.08,295,13.5,1.7,16.9,1169.8,0.5,2.02,117.6
Alimento_32,0.94,225,26.7,6,33,160.5,95.2,10.07,96.2
Alimento_33,0.42,88,10.9,14.5,38.4,1141.5,63.9,4.34,128.5
Alimento_34,4.75,219,4,13,16.2,811.9,86.8,17.37,13
Alimento_35,4.83,296,4.7,12.3,9.2,1444.5,45.5,8.65,116
Alimento_36,4.06,75,23,3.9,50.3,512.8,51.6,24.39,112.3
Alimento_37,1.59,404,18.7,2.6,59.1,948.9,48.9,16.02,112.1
Alimento_38,0.58,355,3.5,10,32,1398,66.7,20.56,120.7
Alimento_39,3.45,458,3,13.9,11.1,153.8,14,3.31,135.3
Alimento_40,2.26,457,21.2,8.4,17.1,1405.8,3,21.55,161
Alimento_41,0.7,62,2.6,8.6,2.1,1031.8,30.8,23.07,54
Alimento_42,2.53,365,24.7,4.2,54.9,101.8,70.5,12.18,165
Alimento_43,0.27,440,21.3,11.5,7.9,451.4,20.2,15.16,99.7
Alimento_44,4.56,362,2.9,2.8,35,1062.3,67.3,19.12,15.4
Alimento_45,1.37,85,3,4.9,17.2,101,97,4.37,11.7
Alimento_46,3.35,222,29.6,6.4,33.7,873.3,9.4,12.56,66.8
Alimento_47,1.63,69,11.5,7.6,39.4,518.8,67.3,9.97,157
Alimento_48,2.65,370,11.4,3.6,50,931.4,44.4,3.66,141.5
Alimento_49,2.78,313,24.5,1.7,13.2,68.6,86.8,9.19,157.7
Alimento_50,1.01,449,28.4,9.2,1.6,1307.3,17.7,1.7,103.5
Alimento_51,4.85,191,29.6,4.3,9.1,1460.2,69.3,0.65,88
